id,coef,HR,HR.95L,HR.95H,pvalue
Gene,,,,,
 FER,0.04537666,1.046421931,1.009464894,1.084731984,0.013380964
Cancer_Type ,,,,,
 BLCA,0.88304198,2.418244781,1.614137616,3.62293014,1.86E-05
 BRCA,-0.61925728,0.538344128,0.360035992,0.804959524,0.002552878
 CESC,-0.010809438,0.989248774,0.63609681,1.538465719,0.961735109
 CHOL,1.050265578,2.858410149,1.638206202,4.987472619,0.000217397
 COAD,0.131684731,1.14074862,0.736932704,1.76584294,0.554729356
 DLBC,-0.420500878,0.656717802,0.308008806,1.400214095,0.276354102
 ESCA,1.171797429,3.227789149,2.084929486,4.997110388,1.48E-07
 GBM,2.085905488,8.05187906,5.314894062,12.19831583,7.42E-23
 HNSC,0.697018919,2.007758486,1.349624412,2.986826633,0.000582854
 KICH,-1.289228002,0.275483374,0.139516663,0.543957171,0.000203955
 KIRC,-0.030912527,0.969560379,0.648168358,1.450313514,0.880404919
 KIRP,-0.491178145,0.611905057,0.38375738,0.975688855,0.039079129
 LAML,1.586511128,4.886670185,3.197779016,7.467540871,2.25E-13
 LGG,0.011826939,1.011897154,0.667050385,1.535020254,0.955639569
 LIHC,0.738059081,2.09187142,1.385211485,3.15903101,0.000449231
 LUAD,0.529550537,1.698168874,1.136982205,2.536343586,0.009676973
 LUSC,0.682072051,1.977971947,1.328812098,2.944263547,0.000777488
 MESO,1.655094643,5.23357522,3.362113773,8.146752735,2.29E-13
 OV,0.808001636,2.243420335,1.509223346,3.334784617,6.47E-05
 PAAD,1.355153824,3.877357342,2.526459159,5.950581035,5.61E-10
 PCPG,-1.767773273,0.170712697,0.077538384,0.375850299,1.13E-05
 PRAD,-2.644004985,0.07107604,0.034397533,0.146865287,9.32E-13
 READ,-0.047275672,0.953824419,0.534376804,1.702508448,0.872938082
 SARC,0.254232228,1.289471221,0.842377746,1.973860348,0.241861086
 SKCM,0.085586326,1.089355597,0.728060399,1.629941166,0.677199807
 STAD,1.012514378,2.752513181,1.831603321,4.136446319,1.10E-06
 TGCT,-2.836460459,0.058632832,0.020496411,0.167727365,1.23E-07
 THCA,-2.18981975,0.111936923,0.062709708,0.199807578,1.29E-13
 THYM,-1.634873219,0.194977089,0.088536115,0.429384835,4.93E-05
 UCEC,-0.094051397,0.910235978,0.551856135,1.501350592,0.712598963
 UCS,1.073848678,2.926621477,1.771077597,4.83610277,2.78E-05
 UVM,0.351672233,1.421442545,0.809109474,2.497188543,0.221254215
