id,coef,HR,HR.95L,HR.95H,pvalue,type
FER,-0.255114794,0.774827547,0.530440302,1.131810169,0.186989993,ACC
FER,0.241238416,1.272824461,1.104477914,1.466830696,0.000859578,BLCA
FER,0.214783209,1.239593136,1.076208006,1.427782672,0.002897447,BRCA
FER,0.131136545,1.140123449,0.895317331,1.451866766,0.287629374,CESC
FER,-0.218091191,0.804052116,0.5512641,1.172758765,0.257436907,CHOL
FER,0.030037082,1.030492746,0.785725778,1.351508795,0.828137768,COAD
FER,0.009893451,1.009942553,0.520933863,1.957991276,0.97663321,DLGC
FER,0.022635266,1.022893388,0.825285253,1.267817253,0.836266777,ESCA
FER,-0.003251357,0.996753923,0.83751305,1.186272123,0.970796217,GBM
FER,0.051705961,1.053066054,0.908961474,1.22001663,0.491038842,HNSC
FER,0.469649529,1.59943354,0.727522888,3.516298512,0.242605465,KICH
FER,-0.289109536,0.748930166,0.648318764,0.865155268,8.57E-05,KIRC
FER,-0.006414623,0.993605907,0.747324192,1.321050099,0.964794143,KIRP
FER,-0.070722265,0.931720627,0.817365483,1.062074856,0.289806531,LAML
FER,0.226451674,1.254142001,1.029187562,1.528265806,0.024754779,LGG
FER,0.032400435,1.032931044,0.885913647,1.204345983,0.679161824,LIHC
FER,0.120730878,1.128321216,0.947516398,1.343627158,0.175438756,LUAD
FER,0.161394984,1.175149042,0.99497636,1.387947822,0.057347294,LUSC
FER,-0.175126188,0.839351098,0.619841373,1.13659768,0.257554456,MESO
FER,0.015021817,1.015135211,0.8603966,1.197702893,0.858704313,OV
FER,0.323097232,1.38139966,1.071936224,1.780203877,0.012532812,PAAD
FER,0.720738928,2.055951849,0.782664247,5.400704096,0.143560622,PCPG
FER,-0.117725958,0.888939626,0.494341066,1.598519146,0.694162391,PRAD
FER,-0.146060374,0.864105532,0.511568287,1.459586901,0.584997328,READ
FER,-0.020355298,0.979850473,0.767176415,1.251481315,0.870478891,SARC
FER,-0.088390045,0.915403758,0.79371744,1.055746036,0.224535948,SKCM
FER,0.185604719,1.20394627,1.018521353,1.423128358,0.029628446,STAD
FER,-0.044263237,0.956702085,0.278669596,3.284459061,0.943927944,TGCT
FER,0.549753772,1.732826295,0.932989644,3.218349732,0.081791658,THCA
FER,0.44099538,1.554253522,0.70610414,3.42117242,0.273298317,THYM
FER,0.146727764,1.15803866,0.798568167,1.679322559,0.43906733,UCEC
FER,-0.051514663,0.949789723,0.675474517,1.335506368,0.767044941,UCS
FER,-0.10642172,0.899045423,0.631811026,1.279310806,0.554308658,UVM
